Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-07-07,EQ,1495,"1,500.00","1,476.00","1,497.25","1,495.00",1493.85,"1,486.07","1,547.00",565,1119109,"1,66,30,70,117.60",34643
2021-07-08,EQ,1496.8,"1,498.75","1,472.20","1,493.85","1,473.40",1475.45,"1,480.45","1,547.00",565,1075063,"1,59,15,73,300.80",31304
2021-07-09,EQ,1475,"1,508.00","1,461.00","1,475.45","1,503.90",1500.15,"1,483.89","1,547.00",565,798580,"1,18,50,07,806.50",33886
2021-07-12,EQ,1507,"1,540.70","1,507.00","1,500.15","1,535.20",1536.15,"1,526.94","1,547.00",565,1859043,"2,83,86,42,266.40",52703
2021-07-13,EQ,1540,"1,582.15","1,538.00","1,536.15","1,577.00",1576.65,"1,558.70","1,582.15",565,2176074,"3,39,18,39,106.70",78151
2021-07-14,EQ,1575.5,"1,580.00","1,563.15","1,576.65","1,566.90",1567.8,"1,570.01","1,582.15",565,702486,"1,10,29,06,972.90",25473
2021-07-15,EQ,1568,"1,579.75","1,553.15","1,567.80","1,554.60",1557.25,"1,562.37","1,582.15",565,907912,"1,41,84,94,184.50",32420
2021-07-16,EQ,1564.8,"1,579.30","1,548.05","1,557.25","1,569.90",1572.3,"1,562.00","1,582.15",565,849808,"1,32,73,98,395.90",28079
2021-07-19,EQ,1558.8,"1,575.60","1,544.85","1,572.30","1,558.50",1558.8,"1,562.78","1,582.15",565,559807,"87,48,53,760.50",21791
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
